method,display_name,class_id,class_name,tp,fp,fn,gt,pred,fn_rate,fp_per_gt
berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours),5,over_ripe,22,224,111,133,246,0.8345864661654135,1.6842105263157894
berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours),1,green_immature,1250,5679,1213,2463,6929,0.4924888347543646,2.305724725943971
berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours),2,pale_pink,35,199,71,106,234,0.6698113207547169,1.8773584905660377
berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours),3,pink_turns_purple,51,166,77,128,217,0.6015625,1.296875
berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours),4,fully_ripe,434,1458,484,918,1892,0.5272331154684096,1.588235294117647
berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours),5,over_ripe,33,202,100,133,235,0.7518796992481203,1.518796992481203
berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours),1,green_immature,1193,2102,1270,2463,3295,0.5156313438895656,0.8534307754770605
berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours),2,pale_pink,41,65,65,106,106,0.6132075471698113,0.6132075471698113
berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours),3,pink_turns_purple,50,63,78,128,113,0.609375,0.4921875
berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours),4,fully_ripe,450,674,468,918,1124,0.5098039215686274,0.7342047930283224
berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours),5,over_ripe,27,135,106,133,162,0.7969924812030075,1.0150375939849625
berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours),1,green_immature,1168,18085,1295,2463,19253,0.5257815671944783,7.342671538773853
berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours),2,pale_pink,39,1497,67,106,1536,0.6320754716981132,14.122641509433961
berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours),3,pink_turns_purple,45,295,83,128,340,0.6484375,2.3046875
berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours),4,fully_ripe,395,4496,523,918,4891,0.5697167755991286,4.89760348583878
berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours),5,over_ripe,23,758,110,133,781,0.8270676691729323,5.6992481203007515
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours),1,green_immature,1381,2103,1082,2463,3484,0.439301664636622,0.853836784409257
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours),2,pale_pink,55,86,51,106,141,0.4811320754716981,0.8113207547169812
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours),3,pink_turns_purple,59,76,69,128,135,0.5390625,0.59375
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours),4,fully_ripe,479,809,439,918,1288,0.4782135076252723,0.8812636165577342
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours),5,over_ripe,23,75,110,133,98,0.8270676691729323,0.5639097744360902
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),1,green_immature,1364,1926,1099,2463,3290,0.4462038164839626,0.781973203410475
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),2,pale_pink,53,87,53,106,140,0.5,0.8207547169811321
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),3,pink_turns_purple,73,97,55,128,170,0.4296875,0.7578125
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),4,fully_ripe,513,758,405,918,1271,0.4411764705882353,0.8257080610021786
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),5,over_ripe,21,79,112,133,100,0.8421052631578947,0.5939849624060151
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours),1,green_immature,1466,1762,997,2463,3228,0.4047909053999188,0.7153877385302476
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours),2,pale_pink,49,63,57,106,112,0.5377358490566038,0.5943396226415094
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours),3,pink_turns_purple,59,89,69,128,148,0.5390625,0.6953125
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours),4,fully_ripe,531,760,387,918,1291,0.4215686274509804,0.8278867102396514
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours),5,over_ripe,27,102,106,133,129,0.7969924812030075,0.7669172932330827
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours),1,green_immature,1434,1921,1029,2463,3355,0.4177831912302071,0.7799431587494925
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours),2,pale_pink,53,73,53,106,126,0.5,0.6886792452830188
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours),3,pink_turns_purple,68,98,60,128,166,0.46875,0.765625
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours),4,fully_ripe,522,803,396,918,1325,0.43137254901960786,0.8747276688453159
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours),5,over_ripe,23,84,110,133,107,0.8270676691729323,0.631578947368421
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),1,green_immature,1444,1951,1019,2463,3395,0.41372310190824196,0.7921234267153877
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),2,pale_pink,53,64,53,106,117,0.5,0.6037735849056604
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),3,pink_turns_purple,62,90,66,128,152,0.515625,0.703125
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),4,fully_ripe,533,781,385,918,1314,0.41938997821350765,0.8507625272331155
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),5,over_ripe,23,81,110,133,104,0.8270676691729323,0.6090225563909775
