stem,filename,image_path,semantic_mask_path,foreground_iou,true_foreground_pixels,pred_foreground_pixels,foreground_pixel_error,iou_green_immature,iou_pale_pink,iou_pink_turns_purple,iou_fully_ripe,iou_over_ripe
20260430_110337,20260430_110337.jpg,.\data\combined_514\images\20260430_110337.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_110337.png,0.7627296587926509,9174,7616,-1558,0.7015593895155939,0.33447098976109213,0.0,0.8209718670076727,0.0
20260430_110428,20260430_110428.jpg,.\data\combined_514\images\20260430_110428.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_110428.png,0.8729069448256931,6802,6844,42,0.4107883817427386,0.927221833449965,0.0,0.8978764478764478,0.0
20260430_110502,20260430_110502.jpg,.\data\combined_514\images\20260430_110502.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_110502.png,0.7238077702080649,10096,8628,-1468,0.7662239089184061,0.0,0.0,0.6045459954778055,0.0
20260430_110635,20260430_110635.jpg,.\data\combined_514\images\20260430_110635.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_110635.png,0.7376516129032258,17328,16339,-989,0.6793226105784101,0.0,0.0,0.06732117812061711,0.0
20260430_110647,20260430_110647.jpg,.\data\combined_514\images\20260430_110647.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_110647.png,0.8139012281160177,16996,17713,717,0.7116831683168316,0.0,0.0,0.7081742450538008,0.0
20260430_110740,20260430_110740.jpg,.\data\combined_514\images\20260430_110740.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_110740.png,0.7298728813559322,5762,5669,-93,0.6500399042298484,0.0,0.0,0.7646769835421272,0.0
20260430_110757,20260430_110757.jpg,.\data\combined_514\images\20260430_110757.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_110757.png,0.8037465672812868,9574,8817,-757,0.7201898910918738,0.0,0.3075,0.8081776880363453,0.0
20260430_110820,20260430_110820.jpg,.\data\combined_514\images\20260430_110820.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_110820.png,0.7670753064798599,14180,12054,-2126,0.0,0.0,0.0,0.9217964565306963,0.0
20260430_111052,20260430_111052.jpg,.\data\combined_514\images\20260430_111052.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111052.png,0.8025624868725058,4285,4297,12,0.5779702970297029,0.6165951359084406,0.7727272727272727,0.8179723502304147,0.0
20260430_111109,20260430_111109.jpg,.\data\combined_514\images\20260430_111109.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111109.png,0.8176417986714358,14217,14240,23,0.6688925081433225,0.4058782365290413,0.0,0.858878729547642,0.0
20260430_111122,20260430_111122.jpg,.\data\combined_514\images\20260430_111122.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111122.png,0.6981150221196384,7851,9806,1955,0.6653647473856621,0.0,0.9470198675496688,0.4843462246777164,0.0
20260430_111129,20260430_111129.jpg,.\data\combined_514\images\20260430_111129.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111129.png,0.7684630738522954,15546,14578,-968,0.5194234058148057,0.5400149588631264,0.0,0.85748339860378,0.0
20260430_111135,20260430_111135.jpg,.\data\combined_514\images\20260430_111135.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111135.png,0.631811650270808,7235,7528,293,0.6037735849056604,0.9336235038084875,0.0,0.5247477174435368,0.0
20260430_111203,20260430_111203.jpg,.\data\combined_514\images\20260430_111203.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111203.png,0.7502618584468054,5559,6138,579,0.6613688797744168,0.5920997920997921,0.0,0.7229551451187335,0.0
20260430_111251,20260430_111251.jpg,.\data\combined_514\images\20260430_111251.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111251.png,0.6829348994954091,9468,10877,1409,0.6056063375990249,0.0,0.8976274165202109,0.547752808988764,0.0
20260430_111306,20260430_111306.jpg,.\data\combined_514\images\20260430_111306.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111306.png,0.7550340431696364,12003,12227,224,0.6420765027322405,0.1891891891891892,0.441534144059869,0.4925521350546177,0.0
20260430_111434,20260430_111434.jpg,.\data\combined_514\images\20260430_111434.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111434.png,0.6594293320023292,10330,9618,-712,0.417119073470865,0.0,0.0,0.8038922155688623,0.0
20260430_111507,20260430_111507.jpg,.\data\combined_514\images\20260430_111507.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111507.png,0.7521695111368238,11500,12729,1229,0.6058313341945009,0.6925795053003534,0.6126760563380281,0.8625520110957005,0.0
20260430_111630,20260430_111630.jpg,.\data\combined_514\images\20260430_111630.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111630.png,0.6318422601530312,5244,5846,602,0.5741014278680453,0.0,0.36904761904761907,0.5883822610868208,0.0
20260430_111919,20260430_111919.jpg,.\data\combined_514\images\20260430_111919.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111919.png,0.670995670995671,9920,14012,4092,0.5380694488690666,0.6616868969810147,0.9254351779683034,0.0,0.0
20260430_111941,20260430_111941.jpg,.\data\combined_514\images\20260430_111941.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111941.png,0.6320081549439348,1489,1713,224,0.1958762886597938,0.0,0.4276885043263288,0.0,0.0
20260430_111952,20260430_111952.jpg,.\data\combined_514\images\20260430_111952.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_111952.png,0.6219375140481007,6910,7522,612,0.5330998832749708,0.6693735498839907,0.0,0.6745762711864407,0.0
20260430_112049,20260430_112049.jpg,.\data\combined_514\images\20260430_112049.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_112049.png,0.7678205128205128,6673,7116,443,0.7246546020626581,0.0,0.8237623762376237,0.8312528895053167,0.0
20260430_112103,20260430_112103.jpg,.\data\combined_514\images\20260430_112103.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_112103.png,0.7613163972286374,7710,7543,-167,0.620224204987417,0.007594936708860759,0.4628099173553719,0.7670600307850179,0.0
20260430_112241,20260430_112241.jpg,.\data\combined_514\images\20260430_112241.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_112241.png,0.5426621160409556,2533,1987,-546,0.37913223140495866,0.7549668874172185,0.0,0.8032786885245902,0.0
20260430_112314,20260430_112314.jpg,.\data\combined_514\images\20260430_112314.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_112314.png,0.5088216537943739,10520,10774,254,0.4898491192037286,0.0,0.7089887640449438,0.5527210884353742,0.0
20260430_112502,20260430_112502.jpg,.\data\combined_514\images\20260430_112502.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_112502.png,0.5194805194805194,6088,4793,-1295,0.38051102204408815,0.0,0.0,0.6764705882352942,0.0
20260430_112536,20260430_112536.jpg,.\data\combined_514\images\20260430_112536.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_112536.png,0.6671314741035856,4600,3769,-831,0.584297520661157,0.0,0.7802197802197802,0.717274678111588,0.0
20260430_113032,20260430_113032.jpg,.\data\combined_514\images\20260430_113032.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_113032.png,0.548953111176644,5618,4887,-731,0.4062237174095879,0.5295019157088122,0.5498108448928121,0.0,0.0
20260430_113107,20260430_113107.jpg,.\data\combined_514\images\20260430_113107.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_113107.png,0.6023266219239374,10167,7739,-2428,0.5728669846316905,0.8654434250764526,0.0,0.14306569343065692,0.0
20260430_113229,20260430_113229.jpg,.\data\combined_514\images\20260430_113229.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_113229.png,0.7457608456287161,15292,16418,1126,0.545238409721305,0.0,0.6200873362445415,0.24482276711980688,0.0
20260430_113251,20260430_113251.jpg,.\data\combined_514\images\20260430_113251.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_113251.png,0.687361963190184,3517,3359,-158,0.6915732669157326,0.0,0.9456521739130435,0.0,0.2710413694721826
20260430_113345,20260430_113345.jpg,.\data\combined_514\images\20260430_113345.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_113345.png,0.7281230513406776,4187,4127,-60,0.4391891891891892,0.0,0.9315068493150684,0.6092843326885881,0.0
20260430_113507,20260430_113507.jpg,.\data\combined_514\images\20260430_113507.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_113507.png,0.6957411957411958,4534,3748,-786,0.559094719195306,0.0,0.5789473684210527,0.15360983102918588,0.0
20260430_113627,20260430_113627.jpg,.\data\combined_514\images\20260430_113627.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_113627.png,0.7727516059957173,13163,13329,166,0.6713286713286714,0.0,0.0,0.8297227522729824,0.0
20260430_113730,20260430_113730.jpg,.\data\combined_514\images\20260430_113730.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_113730.png,0.6875743979489057,9538,8892,-646,0.7069049553208774,0.0,0.8446490218642118,0.6532751091703056,0.0
20260430_113818,20260430_113818.jpg,.\data\combined_514\images\20260430_113818.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_113818.png,0.5731245698554714,4659,4484,-175,0.5710642244377463,0.7754532775453278,0.0,0.3900889453621347,0.0
20260430_113824,20260430_113824.jpg,.\data\combined_514\images\20260430_113824.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_113824.png,0.526671675432006,5150,5010,-140,0.3773638159751623,0.9151943462897526,0.0,0.4850615114235501,0.0
20260430_113919,20260430_113919.jpg,.\data\combined_514\images\20260430_113919.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_113919.png,0.7452451708766716,11463,12028,565,0.6550685848109735,0.0,0.0,0.6994855673049443,0.0
20260430_114008,20260430_114008.jpg,.\data\combined_514\images\20260430_114008.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_114008.png,0.7197495731360273,7396,7712,316,0.6255639097744361,0.36828644501278773,0.0798650168728909,0.4832999331997328,0.0
20260430_114051,20260430_114051.jpg,.\data\combined_514\images\20260430_114051.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_114051.png,0.7908678472120592,6023,6214,191,0.6652173913043479,0.8883280757097792,0.5896414342629482,0.7738958470665788,0.0
20260430_114124,20260430_114124.jpg,.\data\combined_514\images\20260430_114124.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_114124.png,0.7997737944271173,26766,25746,-1020,0.7461961961961961,0.24453280318091453,0.8146240988671473,0.8513496388290458,0.0
20260430_114129,20260430_114129.jpg,.\data\combined_514\images\20260430_114129.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_114129.png,0.7350263135911786,10095,10675,580,0.4697751873438801,0.7446703024293505,0.8548672566371681,0.9479799313440719,0.0
20260430_114341,20260430_114341.jpg,.\data\combined_514\images\20260430_114341.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_114341.png,0.7815705695083127,9666,10480,814,0.5717748451387018,0.0,0.34327577184720043,0.4944625407166124,0.0
20260430_114516,20260430_114516.jpg,.\data\combined_514\images\20260430_114516.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_114516.png,0.872299314948182,10737,10581,-156,0.8252218338262974,0.0,0.39734848484848484,0.6972911227154047,0.0
20260430_114527,20260430_114527.jpg,.\data\combined_514\images\20260430_114527.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_114527.png,0.7889659657489703,8600,7905,-695,0.7567315175097277,0.0,0.8375690607734807,0.7464574898785425,0.0
20260430_114546,20260430_114546.jpg,.\data\combined_514\images\20260430_114546.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_114546.png,0.5917013728212247,4793,5526,733,0.15925925925925927,0.0,0.8203125,0.7694517596361025,0.0
20260430_114601,20260430_114601.jpg,.\data\combined_514\images\20260430_114601.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_114601.png,0.6765077360277866,5784,4835,-949,0.6502119172276241,0.8625,0.0,0.630524861878453,0.0
20260430_114650,20260430_114650.jpg,.\data\combined_514\images\20260430_114650.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_114650.png,0.6384558277654045,2177,2237,60,0.5716455696202531,0.9107142857142857,0.0,0.16363636363636364,0.0
20260430_115015,20260430_115015.jpg,.\data\combined_514\images\20260430_115015.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_115015.png,0.8334376956793988,2957,2899,-58,0.6846652267818575,0.0,0.8348397699260477,0.8321492007104796,0.0
20260430_115039,20260430_115039.jpg,.\data\combined_514\images\20260430_115039.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_115039.png,0.751503006012024,1572,1924,352,0.0,0.0,0.0,0.7752525252525253,0.0
20260430_115223,20260430_115223.jpg,.\data\combined_514\images\20260430_115223.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_115223.png,0.7968807004742795,10249,9452,-797,0.7117341171150803,0.0,0.7105882352941176,0.8026816452255844,0.0
20260430_115310,20260430_115310.jpg,.\data\combined_514\images\20260430_115310.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_115310.png,0.7528563505268996,8101,7701,-400,0.6034843205574912,0.9501445086705202,0.0,0.8631578947368421,0.0
20260430_115351,20260430_115351.jpg,.\data\combined_514\images\20260430_115351.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\20260430_115351.png,0.7853209565764632,10837,11858,1021,0.7260777385159011,0.0,0.0,0.8189884649511979,0.0
