class_id,class_name,iou,dice,method,display_name
3,pink_turns_purple,0.4310127389437587,0.602388402582485,berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours)
4,fully_ripe,0.5794979079497908,0.7337748344370861,berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours)
5,over_ripe,0.1321431250468832,0.2334389038336668,berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours)
0,background,0.9825878249023656,0.9912174508090243,berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours)
1,green_immature,0.5668827973235484,0.7235803447352441,berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours)
2,pale_pink,0.4188967284407311,0.5904541465834086,berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours)
3,pink_turns_purple,0.4349506030668525,0.6062237991151097,berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours)
4,fully_ripe,0.5885764261858224,0.7410111549986883,berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours)
5,over_ripe,0.1373505576506459,0.2415272173152355,berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours)
0,background,0.9843422966384876,0.9921093737768748,berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours)
1,green_immature,0.583059012733023,0.7366232187723929,berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours)
2,pale_pink,0.4181293837006444,0.5896914463608747,berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours)
3,pink_turns_purple,0.4454480699574132,0.616346002621232,berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours)
4,fully_ripe,0.6337713919269948,0.7758385231356958,berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours)
5,over_ripe,0.1081627970044016,0.1952110236813373,berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours)
0,background,0.9845855096296934,0.9922328918076284,berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours)
1,green_immature,0.5888869435115476,0.7412572001001753,berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours)
2,pale_pink,0.4030230069555912,0.5745066259891315,berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours)
3,pink_turns_purple,0.44179344963282,0.6128387526595173,berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours)
4,fully_ripe,0.6236246186637416,0.7681881778523296,berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours)
5,over_ripe,0.1354470890680471,0.2385793056710717,berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours)
0,background,0.9851848067547396,0.9925371213829308,berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours)
1,green_immature,0.5968020614007203,0.7474966069084398,berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours)
2,pale_pink,0.4204662128759934,0.5920115650265032,berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours)
3,pink_turns_purple,0.4500241065509552,0.6207125861119481,berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours)
4,fully_ripe,0.6373591115009758,0.7785208596258463,berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours)
5,over_ripe,0.1039949859560342,0.1883975693349313,berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours)
0,background,0.98502988272735,0.9924584927396248,berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours)
1,green_immature,0.5941938349149378,0.7454474128569722,berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours)
2,pale_pink,0.3790083561198539,0.5496824648492749,berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours)
3,pink_turns_purple,0.4158669616294149,0.5874379061021734,berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours)
4,fully_ripe,0.6487213753151966,0.786938757546194,berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours)
5,over_ripe,0.127018252018252,0.2254058473157628,berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours)
0,background,0.9848737991557546,0.9923792631800172,berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours)
1,green_immature,0.5955852256986336,0.7465414145306517,berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours)
2,pale_pink,0.4078139669242435,0.5793577511029034,berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours)
3,pink_turns_purple,0.4190807261490923,0.5906369080021775,berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours)
4,fully_ripe,0.6434421284647732,0.7830420278514423,berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours)
5,over_ripe,0.1273657289002557,0.2259528130671506,berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours)
0,background,0.9836740393176704,0.9917698370000622,berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours)
1,green_immature,0.5760212163394615,0.7309815507145957,berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours)
2,pale_pink,0.4205070990264706,0.5920520908549639,berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours)
3,pink_turns_purple,0.4388540567384691,0.6100049614944885,berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours)
4,fully_ripe,0.6435459143888724,0.7831188757853049,berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours)
5,over_ripe,0.1322427933234058,0.2335944094379993,berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours)
0,background,0.985952401263955,0.9929265179129648,berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours)
1,green_immature,0.6328006606304521,0.7751107356682683,berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours)
2,pale_pink,0.4472419285799493,0.6180610439040947,berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours)
3,pink_turns_purple,0.4530283103758565,0.6235643271928696,berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours)
4,fully_ripe,0.6359166329159458,0.7774438136036966,berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours)
5,over_ripe,0.1347934798707125,0.2375647767840006,berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours)
0,background,0.9863858534771344,0.993146272916194,berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours)
1,green_immature,0.6387125312456965,0.7795296845141811,berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours)
