method,display_name,true_class,pred_class,count
swin_tiny,Swin-T,pink_turns_purple,pale_pink,20
deit3_small,DeiT-III-S,fully_ripe,green_immature,18
deit3_small,DeiT-III-S,fully_ripe,over_ripe,57
deit3_small,DeiT-III-S,fully_ripe,pink_turns_purple,4
deit3_small,DeiT-III-S,green_immature,fully_ripe,10
deit3_small,DeiT-III-S,green_immature,over_ripe,4
deit3_small,DeiT-III-S,green_immature,pale_pink,16
deit3_small,DeiT-III-S,over_ripe,fully_ripe,89
deit3_small,DeiT-III-S,over_ripe,pink_turns_purple,1
deit3_small,DeiT-III-S,pale_pink,fully_ripe,2
deit3_small,DeiT-III-S,pale_pink,green_immature,8
deit3_small,DeiT-III-S,pale_pink,pink_turns_purple,36
deit3_small,DeiT-III-S,pink_turns_purple,fully_ripe,49
deit3_small,DeiT-III-S,pink_turns_purple,green_immature,2
deit3_small,DeiT-III-S,pink_turns_purple,over_ripe,1
deit3_small,DeiT-III-S,pink_turns_purple,pale_pink,8
maxvit_tiny,MaxViT-T,fully_ripe,green_immature,12
maxvit_tiny,MaxViT-T,fully_ripe,over_ripe,110
maxvit_tiny,MaxViT-T,fully_ripe,pink_turns_purple,6
maxvit_tiny,MaxViT-T,green_immature,fully_ripe,17
maxvit_tiny,MaxViT-T,green_immature,over_ripe,3
maxvit_tiny,MaxViT-T,green_immature,pale_pink,11
maxvit_tiny,MaxViT-T,green_immature,pink_turns_purple,4
maxvit_tiny,MaxViT-T,over_ripe,fully_ripe,67
maxvit_tiny,MaxViT-T,over_ripe,green_immature,1
maxvit_tiny,MaxViT-T,over_ripe,pink_turns_purple,2
maxvit_tiny,MaxViT-T,pale_pink,fully_ripe,1
maxvit_tiny,MaxViT-T,pale_pink,green_immature,14
maxvit_tiny,MaxViT-T,pale_pink,pink_turns_purple,33
maxvit_tiny,MaxViT-T,pink_turns_purple,fully_ripe,43
maxvit_tiny,MaxViT-T,pink_turns_purple,green_immature,2
maxvit_tiny,MaxViT-T,pink_turns_purple,over_ripe,2
maxvit_tiny,MaxViT-T,pink_turns_purple,pale_pink,8
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,fully_ripe,green_immature,167
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,fully_ripe,over_ripe,27
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,fully_ripe,pale_pink,3
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,fully_ripe,pink_turns_purple,17
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,green_immature,fully_ripe,97
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,green_immature,over_ripe,8
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,green_immature,pale_pink,9
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,green_immature,pink_turns_purple,12
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,over_ripe,fully_ripe,80
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,over_ripe,green_immature,23
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,over_ripe,pale_pink,1
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,over_ripe,pink_turns_purple,2
