method,display_name,image_index,filename,image_path,tp,fp,fn,gt,pred,precision50,recall50,failure_score
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,75,20260430_115310.jpg,.\data\combined_514\images\20260430_115310.jpg,16,22,12,28,38,0.42105263157894735,0.5714285714285714,34
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,76,20260430_115351.jpg,.\data\combined_514\images\20260430_115351.jpg,15,11,3,18,26,0.5769230769230769,0.8333333333333334,14
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),0,00007_20260212_161655_f00000198_t000006.601s.jpg,.\data\combined_514\images\00007_20260212_161655_f00000198_t000006.601s.jpg,41,59,41,82,100,0.41,0.5,100
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),1,00019_20260212_161655_f00000327_t000010.901s.jpg,.\data\combined_514\images\00019_20260212_161655_f00000327_t000010.901s.jpg,54,46,34,88,100,0.54,0.6136363636363636,80
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),2,00082_20260212_161655_f00001136_t000037.870s.jpg,.\data\combined_514\images\00082_20260212_161655_f00001136_t000037.870s.jpg,48,52,58,106,100,0.48,0.4528301886792453,110
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),3,00127_20260212_161655_f00001703_t000056.772s.jpg,.\data\combined_514\images\00127_20260212_161655_f00001703_t000056.772s.jpg,47,53,46,93,100,0.47,0.5053763440860215,99
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),4,00140_20260212_161655_f00001835_t000061.173s.jpg,.\data\combined_514\images\00140_20260212_161655_f00001835_t000061.173s.jpg,46,54,92,138,100,0.46,0.3333333333333333,146
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),5,00223_20260212_161655_f00002878_t000095.943s.jpg,.\data\combined_514\images\00223_20260212_161655_f00002878_t000095.943s.jpg,51,49,59,110,100,0.51,0.4636363636363636,108
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),6,00227_20260212_161655_f00002930_t000097.676s.jpg,.\data\combined_514\images\00227_20260212_161655_f00002930_t000097.676s.jpg,44,56,85,129,100,0.44,0.34108527131782945,141
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),7,00246_20260212_161655_f00003255_t000108.511s.jpg,.\data\combined_514\images\00246_20260212_161655_f00003255_t000108.511s.jpg,36,64,42,78,100,0.36,0.46153846153846156,106
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),8,00257_20260212_161655_f00003374_t000112.478s.jpg,.\data\combined_514\images\00257_20260212_161655_f00003374_t000112.478s.jpg,53,47,64,117,100,0.53,0.452991452991453,111
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),9,00321_20260212_164110_f00000473_t000015.769s.jpg,.\data\combined_514\images\00321_20260212_164110_f00000473_t000015.769s.jpg,61,39,40,101,100,0.61,0.6039603960396039,79
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),10,00587_dji_fly_20260217_114201_0_f00000392_t000013.067s.jpg,.\data\combined_514\images\00587_dji_fly_20260217_114201_0_f00000392_t000013.067s.jpg,37,53,18,55,90,0.4111111111111111,0.6727272727272727,71
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),11,00611_dji_fly_20260217_114201_0_f00000658_t000021.933s.jpg,.\data\combined_514\images\00611_dji_fly_20260217_114201_0_f00000658_t000021.933s.jpg,53,47,97,150,100,0.53,0.35333333333333333,144
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),12,00669_dji_fly_20260217_114521_0_f00000372_t000012.400s.jpg,.\data\combined_514\images\00669_dji_fly_20260217_114521_0_f00000372_t000012.400s.jpg,53,47,125,178,100,0.53,0.29775280898876405,172
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),13,20260430_105347.jpg,.\data\combined_514\images\20260430_105347.jpg,28,43,23,51,71,0.39436619718309857,0.5490196078431373,66
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),14,20260430_105507.jpg,.\data\combined_514\images\20260430_105507.jpg,33,15,5,38,48,0.6875,0.868421052631579,20
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),15,20260430_105529.jpg,.\data\combined_514\images\20260430_105529.jpg,20,55,3,23,75,0.26666666666666666,0.8695652173913043,58
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),16,20260430_105552.jpg,.\data\combined_514\images\20260430_105552.jpg,55,43,47,102,98,0.5612244897959183,0.5392156862745098,90
